epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,20683,1.0061,1.01507,1.14527,0.73282,0.67538,0.73745,0.46334,1.34031,1.20248,1.31632,0.00023357,0.00023357,0.00023357
171,20786.5,0.99883,1.02552,1.14298,0.69198,0.68114,0.73001,0.45726,1.33367,1.19822,1.32341,0.000226497,0.000226497,0.000226497
172,20896,1.01232,1.03121,1.14936,0.71493,0.69665,0.73189,0.46845,1.33632,1.18508,1.32994,0.000219423,0.000219423,0.000219423
173,21009.5,1.00671,1.05045,1.156,0.69742,0.68235,0.72592,0.45722,1.34974,1.19927,1.33265,0.000212349,0.000212349,0.000212349
174,21120.7,1.00963,1.01917,1.14349,0.62833,0.75866,0.73466,0.46307,1.32594,1.16353,1.30753,0.000205276,0.000205276,0.000205276
175,21230.7,1.00527,1.03264,1.15347,0.71906,0.67515,0.74137,0.47294,1.32817,1.18032,1.30695,0.000198202,0.000198202,0.000198202
176,21341.3,0.98536,0.99978,1.13916,0.69262,0.70028,0.73737,0.47122,1.31118,1.16344,1.30119,0.000191129,0.000191129,0.000191129
177,21453.3,1.02024,1.0293,1.14917,0.73751,0.64795,0.73352,0.46294,1.34195,1.17308,1.3074,0.000184055,0.000184055,0.000184055
178,21565,0.98651,1.00281,1.12929,0.73999,0.67325,0.72822,0.4622,1.36144,1.17756,1.32183,0.000176982,0.000176982,0.000176982
179,21670,0.97501,0.99904,1.12863,0.74209,0.66827,0.7427,0.47399,1.33281,1.16883,1.30686,0.000169908,0.000169908,0.000169908
180,21776.8,0.96775,0.99311,1.13151,0.73639,0.67399,0.73886,0.47081,1.3099,1.1485,1.31062,0.000162835,0.000162835,0.000162835
181,21880.2,0.99067,1.02759,1.14753,0.65616,0.7485,0.73415,0.46393,1.33291,1.15478,1.33396,0.000155761,0.000155761,0.000155761
182,21987.3,0.97191,0.97691,1.12382,0.67213,0.73543,0.7405,0.46969,1.30874,1.15866,1.31522,0.000148687,0.000148687,0.000148687
183,22097.7,0.96602,0.97474,1.1196,0.67443,0.71709,0.73882,0.47311,1.31434,1.14842,1.31705,0.000141614,0.000141614,0.000141614
184,22208.9,0.96867,0.95753,1.12284,0.67656,0.72454,0.7376,0.4676,1.31546,1.15773,1.31337,0.00013454,0.00013454,0.00013454
185,22316.8,0.96398,0.95862,1.11672,0.71786,0.67189,0.73543,0.46854,1.32594,1.16389,1.31643,0.000127467,0.000127467,0.000127467
186,22430.1,0.98128,0.99084,1.12798,0.7261,0.66069,0.73175,0.46651,1.32002,1.17381,1.31231,0.000120393,0.000120393,0.000120393
187,22542.6,0.95924,0.96788,1.12185,0.70286,0.69895,0.74045,0.47643,1.29734,1.15865,1.30597,0.00011332,0.00011332,0.00011332
188,22655.2,0.95252,0.9719,1.12458,0.71457,0.68697,0.73651,0.46817,1.32134,1.16001,1.31579,0.000106246,0.000106246,0.000106246
189,22765.4,0.96523,0.97193,1.1359,0.71114,0.70704,0.7407,0.47095,1.32272,1.17129,1.31826,9.91726e-05,9.91726e-05,9.91726e-05
190,22873.8,0.96144,0.96508,1.12225,0.68381,0.72012,0.74124,0.47648,1.31439,1.18196,1.31381,9.20991e-05,9.20991e-05,9.20991e-05
191,22986.3,0.92388,0.87516,1.12519,0.68994,0.69737,0.72101,0.45467,1.35861,1.20778,1.33234,8.50255e-05,8.50255e-05,8.50255e-05
192,23091.2,0.86918,0.79655,1.08732,0.70491,0.6866,0.72196,0.46026,1.34938,1.18438,1.32807,7.7952e-05,7.7952e-05,7.7952e-05
193,23196.2,0.87778,0.79082,1.09073,0.72379,0.66865,0.72569,0.47027,1.3268,1.17547,1.32018,7.08784e-05,7.08784e-05,7.08784e-05
194,23308.4,0.85325,0.78453,1.08325,0.71271,0.68036,0.72747,0.46762,1.33388,1.16861,1.31581,6.38049e-05,6.38049e-05,6.38049e-05
195,23419.5,0.86839,0.75926,1.09588,0.70947,0.69185,0.72823,0.47266,1.31016,1.15181,1.30639,5.67313e-05,5.67313e-05,5.67313e-05
196,23525.8,0.86251,0.75719,1.08984,0.71633,0.67892,0.72803,0.47283,1.32936,1.15517,1.31237,4.96578e-05,4.96578e-05,4.96578e-05
197,23633.6,0.8301,0.75052,1.06945,0.71433,0.69697,0.73082,0.47204,1.31686,1.15528,1.31321,4.25842e-05,4.25842e-05,4.25842e-05
198,23735.6,0.85465,0.76528,1.0851,0.68541,0.70867,0.73293,0.47191,1.31706,1.15014,1.31159,3.55107e-05,3.55107e-05,3.55107e-05
199,23835,0.85469,0.75886,1.07813,0.67253,0.72445,0.73359,0.46964,1.33117,1.15375,1.31626,2.84371e-05,2.84371e-05,2.84371e-05
200,23935,0.83719,0.75367,1.06415,0.72416,0.66392,0.72685,0.46925,1.33029,1.15827,1.31733,2.13636e-05,2.13636e-05,2.13636e-05
